normalized_handle,name,normalized_name,handle,bucket,economic_role,activation_phase,potential_tier,distribution_power,fit_score,section,offer,notes
fondation_bettencourt_schueller,Fondation Bettencourt Schueller,fondation_bettencourt_schueller,fondation_bettencourt_schueller,fundraising,observer,1,high,95,90,Structure - Heritage & Craft,"Soumettre ARCHÉ dans l'axe ""Parcours"" : valoriser la main (dorure, papier).","Criteria: Métiers d'art (Intelligence de la main) & Chant Choral || Calendar: Rolling. Prix: Jan-Mars || Angle: Soumettre ARCHÉ dans l'axe ""Parcours"" : valoriser la main (dorure, papier). || Cluster: Heritage & Craft || Type: foundation || Tier: 3 || Source: strategic-fundraising-report"
fondation_bru,Fondation Bru,fondation_bru,fondation_bru,fundraising,observer,1,high,95,90,Structure - Heritage & Craft,"Soutien structurel sur le volet ""Mémoire"" et histoire de Paris.","Criteria: Musique, patrimoine, projets à long terme || Calendar: Ad-hoc (Contact direct) || Angle: Soutien structurel sur le volet ""Mémoire"" et histoire de Paris. || Cluster: Heritage & Craft || Type: foundation || Tier: 3 || Source: strategic-fundraising-report"
fondation_d_entreprise_hermes,Fondation d'entreprise Hermès,fondation_dentreprise_hermes,fondation_d_entreprise_hermes,fundraising,observer,1,high,95,90,Structure - Heritage & Craft,Manufacto : utiliser le Passeport comme support pédagogique pour initier aux métiers du livre.,"Criteria: Transmission des savoir-faire, biodiversité, arts de la scène || Calendar: Sept (Manufacto/Bourses), Déc (Transforme) || Angle: Manufacto : utiliser le Passeport comme support pédagogique pour initier aux métiers du livre. || Cluster: Heritage & Craft || Type: foundation || Tier: 3 || Source: strategic-fundraising-report"
fondation_totalenergies,Fondation TotalEnergies,fondation_totalenergies,fondation_totalenergies,fundraising,observer,1,high,95,90,Structure - Social Cohesion,Formation des jeunes aux métiers du patrimoine (restauration papier).,"Criteria: Jeunesse, dialogue des cultures, patrimoine || Calendar: Rolling (Dépôt en ligne) || Angle: Formation des jeunes aux métiers du patrimoine (restauration papier). || Cluster: Social Cohesion || Type: foundation || Tier: 3 || Source: strategic-fundraising-report"
helene_david_weill,Hélène David-Weill,helene_davidweill,helene_david_weill,fundraising,observer,1,high,95,90,Individual - Aesthetes,"Le Passeport ARCHÉ, avec sa dorure et reliure d'art, est un hommage vivant aux arts décoratifs.","Profile: Présidente Honoraire MAD, Figure tutélaire mécénat parisien || Thesis: Arts Décoratifs, Excellence, Patrimoine || Vehicle: Mécène individuel via MAD || Angle: Le Passeport ARCHÉ, avec sa dorure et reliure d'art, est un hommage vivant aux arts décoratifs. || Bundle: Aesthetes || Tier: 3 || Source: strategic-fundraising-report"
la_france_s_engage,La France s'engage,la_france_sengage,la_france_s_engage,fundraising,observer,1,high,95,90,Structure - Social Cohesion,Si ARCHÉ a une méthodologie innovante de cohésion sociale duplicable.,"Criteria: Innovation sociale, changement d'échelle, impact || Calendar: Janvier-Mars (Concours annuel) || Angle: Si ARCHÉ a une méthodologie innovante de cohésion sociale duplicable. || Cluster: Social Cohesion || Type: foundation || Tier: 3 || Source: strategic-fundraising-report"
laurent_dumas,Laurent Dumas,laurent_dumas,laurent_dumas,fundraising,observer,1,high,95,90,Individual - Builders,"Le Passeport ARCHÉ est l'outil de médiation culturelle qui manque à vos programmes ""1 immeuble, 1 œuvre"".","Profile: Président Groupe Emerige, Collectionneur art contemporain || Thesis: Art contemporain, Éducation artistique, Jeunesse || Vehicle: Fonds de dotation Emerige || Angle: Le Passeport ARCHÉ est l'outil de médiation culturelle qui manque à vos programmes ""1 immeuble, 1 œuvre"". || Bundle: Builders || Tier: 3 || Source: strategic-fundraising-report"
marc_ladreit_de_lacharriere,Marc Ladreit de Lacharrière,marc_ladreit_de_lacharriere,marc_ladreit_de_lacharriere,fundraising,observer,1,high,95,90,Individual - Republicans,"Le Passeport ARCHÉ est un symbole d'appartenance. Offrir ce passeport aux jeunes, c'est leur donner le droit de cité.","Profile: Fondateur Fimalac || Thesis: Égalité des chances, Diversité, Culture pour tous || Vehicle: Fondation Culture & Diversité || Angle: Le Passeport ARCHÉ est un symbole d'appartenance. Offrir ce passeport aux jeunes, c'est leur donner le droit de cité. || Bundle: Republicans || Tier: 3 || Source: strategic-fundraising-report"
nicole_bru,Nicole Bru,nicole_bru,nicole_bru,fundraising,observer,1,high,95,90,Individual - Aesthetes,"Comme le Palazzetto Bru Zane redonne vie à la musique romantique, ARCHÉ redonne vie aux parcours oubliés.","Profile: Mécène historique (Fondation Bru) || Thesis: Patrimoine, Musique, Restauration || Vehicle: Fondation Bru || Angle: Comme le Palazzetto Bru Zane redonne vie à la musique romantique, ARCHÉ redonne vie aux parcours oubliés. || Bundle: Aesthetes || Tier: 3 || Source: strategic-fundraising-report"
yves_guillemot,Yves Guillemot,yves_guillemot,yves_guillemot,fundraising,observer,1,high,95,90,Individual - Innovators,Gamifier le patrimoine parisien. Le Passeport est l'interface physique d'une quête culturelle.,"Profile: PDG Ubisoft || Thesis: Tech, Patrimoine virtuel (Notre-Dame), Éducation || Vehicle: Ubisoft / Mécène individuel || Angle: Gamifier le patrimoine parisien. Le Passeport est l'interface physique d'une quête culturelle. || Bundle: Innovators || Tier: 3 || Source: strategic-fundraising-report"
ariane_de_rothschild,Ariane de Rothschild,ariane_de_rothschild,ariane_de_rothschild,fundraising,observer,2,med,80,75,Individual - Republicans,ARCHÉ est un projet d'empowerment : transformer le flâneur passif en acteur de son patrimoine.,"Profile: Edmond de Rothschild Foundations || Thesis: Empowerment, Art de vivre, Impact social || Vehicle: Edmond de Rothschild Foundations || Angle: ARCHÉ est un projet d'empowerment : transformer le flâneur passif en acteur de son patrimoine. || Bundle: Republicans || Tier: 2 || Source: strategic-fundraising-report"
